INT_EPS,LEAF_EPS,LEAF_BUFSIZE,LEAF_FILL_DEC,LEAF_SPLIT_DEC,initial_size,build_time,upsert_time,read_time,final_size
4,64,64,5,8,60409909,593748,11047642,23409491,87292520
4,64,64,9,10,12412477,714576,81093870,23039601,16630596
4,64,0,5,8,60084789,606289,3713530,6302220,31161309
4,64,0,9,10,12087357,711719,121367004,9323984,6751877
4,64,64,5,8,60409909,621035,11092732,23951715,87292520
4,64,64,9,10,12412477,724512,80770819,23061604,16630596
4,64,0,5,8,60084789,594153,3729973,6366633,31161309
4,64,0,9,10,12087357,718472,120524808,9580463,6751877
4,64,64,5,8,60409909,639688,11089107,23488420,87292520
4,64,64,9,10,12412477,727297,80845493,23605410,16630596
4,64,0,5,8,60084789,592867,3725475,6290567,31161309
4,64,0,9,10,12087357,711314,120341715,9114206,6751877
