INT_EPS,LEAF_EPS,LEAF_BUFSIZE,LEAF_FILL_DEC,LEAF_SPLIT_DEC,initial_size,build_time,upsert_time,read_time,final_size
8,64,128,5,8,72487234,417753,417753,417753,116613379
8,64,128,9,10,40488850,487598,487598,487598,65997210
8,64,0,5,8,72075586,408149,408149,408149,72075586
8,64,0,9,10,40077202,484369,484369,484369,40077202
8,64,128,5,8,72487234,415502,415502,415502,116613379
8,64,128,9,10,40488850,480418,480418,480418,65997210
8,64,0,5,8,72075586,402113,402113,402113,72075586
8,64,0,9,10,40077202,475114,475114,475114,40077202
8,64,128,5,8,72487234,412629,412629,412629,116613379
8,64,128,9,10,40488850,474238,474238,474238,65997210
8,64,0,5,8,72075586,401030,401030,401030,72075586
8,64,0,9,10,40077202,471894,471894,471894,40077202
8,64,128,5,8,72487234,424447,424447,424447,116613379
8,64,128,9,10,40488850,473681,473681,473681,65997210
8,64,0,5,8,72075586,405876,405876,405876,72075586
8,64,0,9,10,40077202,476865,476865,476865,40077202
