INT_EPS,LEAF_EPS,LEAF_BUFSIZE,LEAF_FILL_DEC,LEAF_SPLIT_DEC,initial_size,build_time,upsert_time,read_time,final_size
4,64,64,5,8,30192943,307305,6267775,13757267,42664330
4,64,64,9,10,6194119,365689,39939454,14457452,8292818
4,64,0,5,8,30039855,301296,1888624,3117714,15576751
4,64,0,9,10,6041031,366485,66949511,4538601,3373383
4,64,64,5,8,30192943,305898,6250181,13841096,42664330
4,64,64,9,10,6194119,363300,40329734,14544634,8292818
4,64,0,5,8,30039855,313737,1893484,3107489,15576751
4,64,0,9,10,6041031,359549,65972180,4522398,3373383
4,64,64,5,8,30192943,318707,6240468,13806347,42664330
4,64,64,9,10,6194119,365043,40530028,14570590,8292818
4,64,0,5,8,30039855,305542,1913787,3091477,15576751
4,64,0,9,10,6041031,362154,65187652,4469644,3373383
