INT_EPS,LEAF_EPS,LEAF_BUFSIZE,LEAF_FILL_DEC,LEAF_SPLIT_DEC,initial_size,build_time,upsert_time,read_time,final_size
8,64,128,5,8,108769419,598883,598883,598883,184803314
8,64,128,9,10,60771987,681296,681296,681296,97810899
8,64,0,5,8,108119179,588538,588538,588538,108119179
8,64,0,9,10,60121747,702051,702051,702051,60121747
8,64,128,5,8,108769419,593076,593076,593076,184803314
8,64,128,9,10,60771987,690319,690319,690319,97810899
8,64,0,5,8,108119179,574753,574753,574753,108119179
8,64,0,9,10,60121747,683010,683010,683010,60121747
8,64,128,5,8,108769419,609236,609236,609236,184803314
8,64,128,9,10,60771987,733220,733220,733220,97810899
8,64,0,5,8,108119179,601083,601083,601083,108119179
8,64,0,9,10,60121747,697483,697483,697483,60121747
8,64,128,5,8,108769419,597031,597031,597031,184803314
8,64,128,9,10,60771987,694135,694135,694135,97810899
8,64,0,5,8,108119179,577414,577414,577414,108119179
8,64,0,9,10,60121747,680768,680768,680768,60121747
