INT_EPS,LEAF_EPS,LEAF_BUFSIZE,LEAF_FILL_DEC,LEAF_SPLIT_DEC,initial_size,build_time,upsert_time,read_time,final_size
8,64,128,5,8,90621779,502711,502711,502711,155688483
8,64,128,9,10,50623943,599213,599213,599213,81512174
8,64,0,5,8,90096467,497486,497486,497486,90096467
8,64,0,9,10,50098631,614209,614209,614209,50098631
8,64,128,5,8,90621779,516585,516585,516585,155688483
8,64,128,9,10,50623943,618123,618123,618123,81512174
8,64,0,5,8,90096467,506717,506717,506717,90096467
8,64,0,9,10,50098631,590805,590805,590805,50098631
8,64,128,5,8,90621779,512555,512555,512555,155688483
8,64,128,9,10,50623943,592735,592735,592735,81512174
8,64,0,5,8,90096467,487638,487638,487638,90096467
8,64,0,9,10,50098631,567105,567105,567105,50098631
8,64,128,5,8,90621779,508215,508215,508215,155688483
8,64,128,9,10,50623943,576093,576093,576093,81512174
8,64,0,5,8,90096467,504312,504312,504312,90096467
8,64,0,9,10,50098631,576277,576277,576277,50098631
