INT_EPS,LEAF_EPS,LEAF_BUFSIZE,LEAF_FILL_DEC,LEAF_SPLIT_DEC,initial_size,build_time,upsert_time,read_time,final_size
4,16,32,5,8,9568136,92305,1147448,1778245,14999629
4,16,32,9,10,2373959,105716,2650744,1722168,3044883
4,16,0,5,8,9194120,92361,516638,802115,4805264
4,16,0,9,10,1999943,106574,1848028,864246,1194831
4,16,32,5,8,9568136,89301,1155276,1748056,14999629
4,16,32,9,10,2373959,105494,2656609,1717861,3044883
4,16,0,5,8,9194120,90688,556666,806497,4805264
4,16,0,9,10,1999943,106294,1838215,884576,1194831
4,16,32,5,8,9568136,91798,1157461,1779405,14999629
4,16,32,9,10,2373959,111343,2661288,1721627,3044883
4,16,0,5,8,9194120,89911,519685,830030,4805264
4,16,0,9,10,1999943,106857,1830805,892095,1194831
