INT_EPS,LEAF_EPS,LEAF_BUFSIZE,LEAF_FILL_DEC,LEAF_SPLIT_DEC,initial_size,build_time,upsert_time,read_time,final_size
4,64,64,5,8,90605940,891836,20230952,27524130,148911916
4,64,64,9,10,18609873,1046286,118164669,32405050,24385721
4,64,0,5,8,90125172,872771,5731799,9941553,46741532
4,64,0,9,10,18129105,1049121,180702455,15261264,10125921
4,64,64,5,8,90605940,924543,20367454,27246258,148911916
4,64,64,9,10,18609873,1071088,118345393,32442020,24385721
4,64,0,5,8,90125172,903243,5770492,9941204,46741532
4,64,0,9,10,18129105,1122798,181176954,14721872,10125921
4,64,64,5,8,90605940,919386,20240232,27257410,148911916
4,64,64,9,10,18609873,1073615,118123176,32871289,24385721
4,64,0,5,8,90125172,905364,5795986,9930924,46741532
4,64,0,9,10,18129105,1063498,180319984,14852809,10125921
