INT_EPS,LEAF_EPS,LEAF_BUFSIZE,LEAF_FILL_DEC,LEAF_SPLIT_DEC,initial_size,build_time,upsert_time,read_time,final_size
4,16,32,5,8,2124909,21404,279232,385661,3415422
4,16,32,9,10,526203,24015,649052,392568,632115
4,16,0,5,8,2042989,21226,117002,170054,1068765
4,16,0,9,10,444283,24681,391896,185023,265355
4,16,32,5,8,2124909,24058,266574,380466,3415422
4,16,32,9,10,526203,24923,623799,389818,632115
4,16,0,5,8,2042989,21565,127139,171206,1068765
4,16,0,9,10,444283,23582,395477,184313,265355
4,16,32,5,8,2124909,21337,274552,395290,3415422
4,16,32,9,10,526203,25935,618806,407093,632115
4,16,0,5,8,2042989,21614,118765,169946,1068765
4,16,0,9,10,444283,24438,394265,184610,265355
