INT_EPS,LEAF_EPS,LEAF_BUFSIZE,LEAF_FILL_DEC,LEAF_SPLIT_DEC,initial_size,build_time,upsert_time,read_time,final_size
4,16,32,5,8,8500154,82192,1094529,2104766,12745977
4,16,32,9,10,2105429,104229,2576159,2076344,2653719
4,16,0,5,8,8170938,79891,447343,695353,4269394
4,16,0,9,10,1776213,93515,1628981,807318,1060461
4,16,32,5,8,8500154,83184,1104330,2124838,12745977
4,16,32,9,10,2105429,95593,2571193,2051751,2653719
4,16,0,5,8,8170938,79971,452623,718345,4269394
4,16,0,9,10,1776213,96226,1620411,775098,1060461
4,16,32,5,8,8500154,80882,1099241,2131539,12745977
4,16,32,9,10,2105429,94591,2571466,2058554,2653719
4,16,0,5,8,8170938,81224,448271,709631,4269394
4,16,0,9,10,1776213,93891,1617420,786444,1060461
