INT_EPS,LEAF_EPS,LEAF_BUFSIZE,LEAF_FILL_DEC,LEAF_SPLIT_DEC,initial_size,build_time,upsert_time,read_time,final_size
4,64,64,5,8,80541917,765939,14943360,22550164,123608750
4,64,64,9,10,16545383,936735,111742790,24027478,21635642
4,64,0,5,8,80112349,790584,4964239,8747225,41538013
4,64,0,9,10,16115815,946619,169305796,12743113,9001855
4,64,64,5,8,80541917,831150,14946118,22539296,123608750
4,64,64,9,10,16545383,957715,109781569,24058676,21635642
4,64,0,5,8,80112349,784160,4980915,9077201,41538013
4,64,0,9,10,16115815,949323,168986327,12891973,9001855
4,64,64,5,8,80541917,811954,14988073,22706705,123608750
4,64,64,9,10,16545383,957731,111029537,23971907,21635642
4,64,0,5,8,80112349,790794,4971849,8548366,41538013
4,64,0,9,10,16115815,931709,170228068,12845910,9001855
