INT_EPS,LEAF_EPS,LEAF_BUFSIZE,LEAF_FILL_DEC,LEAF_SPLIT_DEC,initial_size,build_time,upsert_time,read_time,final_size
4,64,64,5,8,20133017,225687,3582695,7785317,23007318
4,64,64,9,10,4133915,287266,23924611,7718790,4810702
4,64,0,5,8,20027545,187305,1212367,2237306,15203417
4,64,0,9,10,4028443,229297,42733704,3348136,3139155
4,64,64,5,8,20133017,197706,3215218,6617448,23007318
4,64,64,9,10,4133915,233485,21758874,7664635,4810702
4,64,0,5,8,20027545,192020,1226238,2219631,15203417
4,64,0,9,10,4028443,228702,42763206,3393069,3139155
4,64,64,5,8,20133017,200610,3138129,6651882,23007318
4,64,64,9,10,4133915,244260,21815028,8392230,4810702
4,64,0,5,8,20027545,215660,1413097,2379567,15203417
4,64,0,9,10,4028443,240306,42933695,3430157,3139155
