INT_EPS,LEAF_EPS,LEAF_BUFSIZE,LEAF_FILL_DEC,LEAF_SPLIT_DEC,initial_size,build_time,upsert_time,read_time,final_size
4,16,32,5,8,4254129,39289,543923,801043,6627416
4,16,32,9,10,1056789,49874,1181060,757120,1326706
4,16,0,5,8,4086705,48904,246636,334391,2134609
4,16,0,9,10,889365,50733,813820,379055,531469
4,16,32,5,8,4254129,45865,510176,798591,6627416
4,16,32,9,10,1056789,46357,1278075,760475,1326706
4,16,0,5,8,4086705,41378,221713,328181,2134609
4,16,0,9,10,889365,51658,803524,357677,531469
4,16,32,5,8,4254129,44007,508154,798845,6627416
4,16,32,9,10,1056789,49457,1179807,773202,1326706
4,16,0,5,8,4086705,41472,223873,327073,2134609
4,16,0,9,10,889365,51789,784658,372730,531469
