INT_EPS,LEAF_EPS,LEAF_BUFSIZE,LEAF_FILL_DEC,LEAF_SPLIT_DEC,initial_size,build_time,upsert_time,read_time,final_size
8,64,128,5,8,145016310,766043,766043,766043,240570918
8,64,128,9,10,81019776,912224,912224,912224,129771130
8,64,0,5,8,144157174,796020,796020,796020,144157174
8,64,0,9,10,80160640,908004,908004,908004,80160640
8,64,128,5,8,145016310,808564,808564,808564,240570918
8,64,128,9,10,81019776,933820,933820,933820,129771130
8,64,0,5,8,144157174,775957,775957,775957,144157174
8,64,0,9,10,80160640,929066,929066,929066,80160640
8,64,128,5,8,145016310,805441,805441,805441,240570918
8,64,128,9,10,81019776,936277,936277,936277,129771130
8,64,0,5,8,144157174,766561,766561,766561,144157174
8,64,0,9,10,80160640,931922,931922,931922,80160640
8,64,128,5,8,145016310,857139,857139,857139,240570918
8,64,128,9,10,81019776,938973,938973,938973,129771130
8,64,0,5,8,144157174,777338,777338,777338,144157174
8,64,0,9,10,80160640,947499,947499,947499,80160640
