INT_EPS,LEAF_EPS,LEAF_BUFSIZE,LEAF_FILL_DEC,LEAF_SPLIT_DEC,initial_size,build_time,upsert_time,read_time,final_size
4,16,32,5,8,1063286,10790,164844,325256,1502377
4,16,32,9,10,263906,12589,369145,349917,345625
4,16,0,5,8,1021814,10284,75350,110238,533630
4,16,0,9,10,222434,11899,226534,114035,132994
4,16,32,5,8,1063286,11836,156392,321871,1502377
4,16,32,9,10,263906,13377,355925,345849,345625
4,16,0,5,8,1021814,10485,68859,101146,533630
4,16,0,9,10,222434,12719,229091,112101,132994
4,16,32,5,8,1063286,10503,161671,336642,1502377
4,16,32,9,10,263906,15634,363592,341458,345625
4,16,0,5,8,1021814,10264,76386,114931,533630
4,16,0,9,10,222434,11712,226851,110901,132994
