INT_EPS,LEAF_EPS,LEAF_BUFSIZE,LEAF_FILL_DEC,LEAF_SPLIT_DEC,initial_size,build_time,upsert_time,read_time,final_size
4,64,64,5,8,40259866,398721,6976639,10206685,58612876
4,64,64,9,10,8261482,473689,55395253,10802874,10531928
4,64,0,5,8,40054042,399898,2401413,4049664,20765538
4,64,0,9,10,8055658,477075,82376483,5747504,4498730
4,64,64,5,8,40259866,411099,6398302,10225317,58612876
4,64,64,9,10,8261482,477979,55777272,10847940,10531928
4,64,0,5,8,40054042,400111,2399781,3994975,20765538
4,64,0,9,10,8055658,471342,82031049,5799812,4498730
4,64,64,5,8,40259866,413167,6608501,10651941,58612876
4,64,64,9,10,8261482,478740,55470244,10756528,10531928
4,64,0,5,8,40054042,399421,2383401,4030093,20765538
4,64,0,9,10,8055658,488373,82450828,5793129,4498730
