INT_EPS,LEAF_EPS,LEAF_BUFSIZE,LEAF_FILL_DEC,LEAF_SPLIT_DEC,initial_size,build_time,upsert_time,read_time,final_size
8,64,128,5,8,163137314,841757,841757,841757,264108829
8,64,128,9,10,91141247,1013857,1013857,1013857,152139555
8,64,0,5,8,162175778,854159,854159,854159,162175778
8,64,0,9,10,90179711,1038552,1038552,1038552,90179711
8,64,128,5,8,163137314,927235,927235,927235,264108829
8,64,128,9,10,91141247,1062844,1062844,1062844,152139555
8,64,0,5,8,162175778,1432636,1432636,1432636,162175778
8,64,0,9,10,90179711,1728052,1728052,1728052,90179711
8,64,128,5,8,163137314,1000588,1000588,1000588,264108829
8,64,128,9,10,91141247,1082862,1082862,1082862,152139555
8,64,0,5,8,162175778,1126602,1126602,1126602,162175778
8,64,0,9,10,90179711,1103492,1103492,1103492,90179711
8,64,128,5,8,163137314,944358,944358,944358,264108829
8,64,128,9,10,91141247,1166842,1166842,1166842,152139555
8,64,0,5,8,162175778,966625,966625,966625,162175778
8,64,0,9,10,90179711,1122570,1122570,1122570,90179711
