INT_EPS,LEAF_EPS,LEAF_BUFSIZE,LEAF_FILL_DEC,LEAF_SPLIT_DEC,initial_size,build_time,upsert_time,read_time,final_size
8,64,128,5,8,36250025,204201,204201,204201,47325522
8,64,128,9,10,20250923,244267,244267,244267,28223005
8,64,0,5,8,36039081,201404,201404,201404,36039081
8,64,0,9,10,20039979,249248,249248,249248,20039979
8,64,128,5,8,36250025,204994,204994,204994,47325522
8,64,128,9,10,20250923,243608,243608,243608,28223005
8,64,0,5,8,36039081,204742,204742,204742,36039081
8,64,0,9,10,20039979,241728,241728,241728,20039979
8,64,128,5,8,36250025,203750,203750,203750,47325522
8,64,128,9,10,20250923,241152,241152,241152,28223005
8,64,0,5,8,36039081,202963,202963,202963,36039081
8,64,0,9,10,20039979,240002,240002,240002,20039979
8,64,128,5,8,36250025,205093,205093,205093,47325522
8,64,128,9,10,20250923,242328,242328,242328,28223005
8,64,0,5,8,36039081,205423,205423,205423,36039081
8,64,0,9,10,20039979,240752,240752,240752,20039979
