INT_EPS,LEAF_EPS,LEAF_BUFSIZE,LEAF_FILL_DEC,LEAF_SPLIT_DEC,initial_size,build_time,upsert_time,read_time,final_size
8,64,128,5,8,36253278,214391,214391,214391,58304626
8,64,128,9,10,20254077,239784,239784,239784,34812109
8,64,0,5,8,36039262,201885,201885,201885,36039262
8,64,0,9,10,20040061,235202,235202,235202,20040061
8,64,128,5,8,36253278,207368,207368,207368,58304626
8,64,128,9,10,20254077,241843,241843,241843,34812109
8,64,0,5,8,36039262,204704,204704,204704,36039262
8,64,0,9,10,20040061,239325,239325,239325,20040061
8,64,128,5,8,36253278,207848,207848,207848,58304626
8,64,128,9,10,20254077,248065,248065,248065,34812109
8,64,0,5,8,36039262,204482,204482,204482,36039262
8,64,0,9,10,20040061,245006,245006,245006,20040061
8,64,128,5,8,36253278,218950,218950,218950,58304626
8,64,128,9,10,20254077,253100,253100,253100,34812109
8,64,0,5,8,36039262,215170,215170,215170,36039262
8,64,0,9,10,20040061,291319,291319,291319,20040061
