INT_EPS,LEAF_EPS,LEAF_BUFSIZE,LEAF_FILL_DEC,LEAF_SPLIT_DEC,initial_size,build_time,upsert_time,read_time,final_size
4,64,64,5,8,100683320,942482,19059192,28691855,157397399
4,64,64,9,10,20687882,1172440,153227992,33281873,26982074
4,64,0,5,8,100141624,978518,6534027,11307381,51935800
4,64,0,9,10,20146186,1181104,195028144,16702361,11253586
4,64,64,5,8,100683320,1032239,19313066,28908362,157397399
4,64,64,9,10,20687882,1190685,152054970,33814321,26982074
4,64,0,5,8,100141624,984678,6540787,11315260,51935800
4,64,0,9,10,20146186,1172404,209469647,20434619,11253586
4,64,64,5,8,100683320,1080144,21113451,33555657,157397399
4,64,64,9,10,20687882,1257218,166850921,39457919,26982074
4,64,0,5,8,100141624,1096339,7215425,13031661,51935800
4,64,0,9,10,20146186,1265520,211172170,19104978,11253586
