INT_EPS,LEAF_EPS,LEAF_BUFSIZE,LEAF_FILL_DEC,LEAF_SPLIT_DEC,initial_size,build_time,upsert_time,read_time,final_size
4,16,32,5,8,3193651,29397,437388,832666,4736308
4,16,32,9,10,795583,35925,952283,787462,1017539
4,16,0,5,8,3066163,32322,164428,241610,1603859
4,16,0,9,10,668095,37479,582332,268100,399719
4,16,32,5,8,3193651,32393,403917,785151,4736308
4,16,32,9,10,795583,36367,954684,793339,1017539
4,16,0,5,8,3066163,31199,166733,253573,1603859
4,16,0,9,10,668095,37583,569905,273867,399719
4,16,32,5,8,3193651,34370,407047,783639,4736308
4,16,32,9,10,795583,36538,965308,788576,1017539
4,16,0,5,8,3066163,33206,182214,244027,1603859
4,16,0,9,10,668095,36743,562187,268734,399719
