INT_EPS,LEAF_EPS,LEAF_BUFSIZE,LEAF_FILL_DEC,LEAF_SPLIT_DEC,initial_size,build_time,upsert_time,read_time,final_size
4,64,64,5,8,20135130,212345,3346730,4094253,30987642
4,64,64,9,10,4135929,243114,24289827,4814454,5686631
4,64,0,5,8,20028122,203146,1162714,1820436,10381954
4,64,0,9,10,4028921,242678,35448404,2779098,2250457
4,64,64,5,8,20135130,213325,3281653,4046572,30987642
4,64,64,9,10,4135929,244872,24283249,4800277,5686631
4,64,0,5,8,20028122,204639,1151564,1837193,10381954
4,64,0,9,10,4028921,243421,35554399,2823620,2250457
4,64,64,5,8,20135130,220723,3298345,4079618,30987642
4,64,64,9,10,4135929,247413,24207703,4838793,5686631
4,64,0,5,8,20028122,205840,1163003,1807600,10381954
4,64,0,9,10,4028921,239770,35508987,2781820,2250457
