INT_EPS,LEAF_EPS,LEAF_BUFSIZE,LEAF_FILL_DEC,LEAF_SPLIT_DEC,initial_size,build_time,upsert_time,read_time,final_size
4,16,32,5,8,7434136,74904,892569,875284,12284470
4,16,32,9,10,1838539,85092,1855919,726292,2421843
4,16,0,5,8,7147928,72130,392685,609556,3735352
4,16,0,9,10,1552331,85561,1418997,647657,926243
4,16,32,5,8,7434136,69383,815548,867661,12284470
4,16,32,9,10,1838539,83180,1836984,726259,2421843
4,16,0,5,8,7147928,71072,380595,605385,3735352
4,16,0,9,10,1552331,83661,1396274,680526,926243
4,16,32,5,8,7434136,74959,812116,889564,12284470
4,16,32,9,10,1838539,84067,1813574,720943,2421843
4,16,0,5,8,7147928,71260,380462,601416,3735352
4,16,0,9,10,1552331,82751,1411158,659084,926243
