INT_EPS,LEAF_EPS,LEAF_BUFSIZE,LEAF_FILL_DEC,LEAF_SPLIT_DEC,initial_size,build_time,upsert_time,read_time,final_size
4,64,64,5,8,50331342,493498,9607492,13907214,79981027
4,64,64,9,10,10333506,598350,60062654,15786830,14057415
4,64,0,5,8,50068686,496014,3018457,5062927,25966862
4,64,0,9,10,10070850,599080,106663438,7516600,5624586
4,64,64,5,8,50331342,510783,9646454,13899595,79981027
4,64,64,9,10,10333506,601829,59806297,15814696,14057415
4,64,0,5,8,50068686,498668,3007166,5055405,25966862
4,64,0,9,10,10070850,600230,105258865,7427398,5624586
4,64,64,5,8,50331342,509114,9608827,14032912,79981027
4,64,64,9,10,10333506,598578,59229432,16262848,14057415
4,64,0,5,8,50068686,512252,3015303,5119923,25966862
4,64,0,9,10,10070850,593124,105389521,7493583,5624586
