INT_EPS,LEAF_EPS,LEAF_BUFSIZE,LEAF_FILL_DEC,LEAF_SPLIT_DEC,initial_size,build_time,upsert_time,read_time,final_size
8,64,128,5,8,126896692,672283,672283,672283,217682234
8,64,128,9,10,70899664,779347,779347,779347,112401955
8,64,0,5,8,126138932,660200,660200,660200,126138932
8,64,0,9,10,70141904,808264,808264,808264,70141904
8,64,128,5,8,126896692,743389,743389,743389,217682234
8,64,128,9,10,70899664,812135,812135,812135,112401955
8,64,0,5,8,126138932,694417,694417,694417,126138932
8,64,0,9,10,70141904,818801,818801,818801,70141904
8,64,128,5,8,126896692,698622,698622,698622,217682234
8,64,128,9,10,70899664,821234,821234,821234,112401955
8,64,0,5,8,126138932,678003,678003,678003,126138932
8,64,0,9,10,70141904,827574,827574,827574,70141904
8,64,128,5,8,126896692,691720,691720,691720,217682234
8,64,128,9,10,70899664,818669,818669,818669,112401955
8,64,0,5,8,126138932,693629,693629,693629,126138932
8,64,0,9,10,70141904,832789,832789,832789,70141904
