INT_EPS,LEAF_EPS,LEAF_BUFSIZE,LEAF_FILL_DEC,LEAF_SPLIT_DEC,initial_size,build_time,upsert_time,read_time,final_size
4,16,32,5,8,5307625,51715,687474,821790,8668921
4,16,32,9,10,1310887,63395,1449594,804712,1754645
4,16,0,5,8,5105129,52262,270085,429782,2668537
4,16,0,9,10,1108391,65707,989023,463190,661047
4,16,32,5,8,5307625,55035,640801,812634,8668921
4,16,32,9,10,1310887,61067,1393735,743907,1754645
4,16,0,5,8,5105129,51559,270870,404556,2668537
4,16,0,9,10,1108391,61886,993985,454437,661047
4,16,32,5,8,5307625,53078,624958,825537,8668921
4,16,32,9,10,1310887,60586,1389533,755190,1754645
4,16,0,5,8,5105129,52316,270511,407496,2668537
4,16,0,9,10,1108391,62612,983047,453471,661047
